Name,Current price,Change(%),Open,High,Low,Volume
PACIFIC PREMIER BANCORP INC,22.14,0.36,22.2,22.26,21.93,528865
SUTRO BIOPHARMA INC.,4.14,1.47,4.15,4.24,4.03,528017
ALX ONCOLOGY HLD.,13.17,110.35,14.68,15.21,12.99,526822
LOGITECH INTERNATIONAL S.A. REGISTERED,96.01,0.93,94.94,96.65,94.84,525912
CARDLYTICS INC.,9.4,7.18,8.95,9.43,8.81,524344
FIRST WATCH RESTAURANT GROUP,19.8,2.86,19.39,19.82,19.05,520764
F5 INC.,169.9,10.03,170.56,171.37,169.58,519631
NEOGENOMICS INC.,14.24,2.52,13.98,14.33,13.9,519454
NAVIENT CORP.,15.12,1.2,15.14,15.14,14.94,516748
CARGURUS INC.,23.93,1.36,23.76,24.21,23.75,515670
DIVERSIFIED HEALTHCARE TRUST,2.3,0.44,2.32,2.32,2.27,514967
STEVEN MADDEN LTD.,42.84,3.35,41.99,42.94,41.99,514342
FRESHPET INC.,130.69,1.97,129.0,131.55,128.06,514311
REPLIMUNE GROUP INC.,5.22,17.77,5.67,5.81,5.19,514215
RESHAPE LIFESCIENCES INC.,0.188,4.44,0.188,0.1949,0.176,512464
AUTOLUS THERAPEUTICS PLC ADS,3.92,1.29,3.89,3.93,3.81,511867
DUOLINGO INC.,178.4,1.49,177.05,180.6,175.78,510923
VERTEX INC.,33.7,1.57,33.27,33.76,33.02,510827
NCINO INC.,30.66,10.74,30.9,31.01,30.42,510259
STRUCTURE THERAPEUTICS,37.06,13.29,39.75,39.75,36.68,507177
ALNYLAM PHARMACEUTICALS INC.,147.76,11.08,149.5,149.83,147.15,506806
CABALETTA BIO INC.,10.92,12.59,11.3,11.5,10.88,506435
TROOPS INC.,1.19,19.0,1.01,1.22,0.74,503031
PDS BIOTECHNOLOGY,3.08,11.28,3.12,3.18,3.04,502307
ABVC BIOPHARMA INC.,0.935,19.09,0.995,1.02,0.902,501959
SBA COMMUNICATIONS,188.09,10.37,188.59,189.7,187.72,500632
CINTAS CORP.,682.81,11.9,693.28,696.28,681.12,499180
KEZAR LIFE SCIENCES INC.,0.705,13.24,0.731,0.744,0.703,497104
LIBERTY MEDIA CORP.,71.2,0.66,71.03,71.91,71.03,496364
WISA TECHNOLOGIES INC.,2.34,18.59,2.51,2.53,2.34,495022
BRIGHT GREEN CORP.,0.209,10.43,0.2206,0.2219,0.2035,491720
FIRST ADVANTAGE,16.48,10.3,16.65,16.66,16.32,491123
INTERDIGITAL INC.,110.97,0.99,110.28,111.76,109.72,490735
VIPER ENERGY INC.,37.82,1.04,37.55,38.03,37.49,487964
HAMILTON LANE INC.,126.95,2.2,126.0,129.02,124.45,486911
DEFINITIVE HEALTHCARE,5.62,0.54,5.64,5.76,5.57,485404
SPRUCE BIOSCIENCES INC.,0.6975,13.87,0.721,0.7298,0.69,485358
NEWS CORP.,27.52,3.11,26.85,27.55,26.66,483533
INDEPENDENT BANK GROUP INC,46.26,2.21,45.62,46.39,45.09,482582
AC IMMUNE SA,3.54,10.84,3.56,3.82,3.47,482208
ARVINAS INC.,35.23,0.0,35.31,35.76,34.71,480978
ADICET BIO INC.,1.49,12.61,1.53,1.55,1.48,480553
VAXCYTE INC.,68.76,10.74,69.72,69.84,68.51,480352
VIR BIOTECHNOLOGY INC.,10.55,10.94,10.75,10.82,10.51,479615
BLACK DIAMOND THERAPEUTICS,4.89,3.16,4.8,4.89,4.68,477918
FITELL CORP.,15.88,17.13,17.27,19.42,15.45,477424
PLBY GROUP INC.,0.8962,11.42,0.9091,0.9198,0.87,477070
OMNICELL INC.,32.63,2.93,32.12,33.12,31.19,475305
BINAH CAPITAL GROUP INC.,6.19,117.8,6.63,6.81,5.66,474887
MITEK SYSTEMS INC.,12.88,3.45,12.54,13.15,12.52,473250
PHATHOM PHARMACEUTICALS INC.,10.5,1.94,10.4,10.58,10.05,471226
SUN COUNTRY AIRLINES HLD.,9.95,0.61,9.87,9.96,9.78,470629
HEALTH CATALYST INC,6.73,1.2,6.69,6.82,6.5,468771
FRONTDOOR INC.,35.19,1.0,35.19,35.22,34.79,468446
PHOTRONICS INC.,26.38,2.49,26.14,26.78,26.01,467969
EYEPOINT PHARMACEUTICALS INC.,11.16,0.45,11.11,11.42,10.96,467833
EVERGREEN CORP.,11.43,0.0,11.42,11.45,11.41,465949
NEUROONE MEDICAL TECHNOLOGIES,1.06,12.75,1.13,1.14,1.05,465918
J.B. HUNT TRANSPORT SERVICES,157.62,10.16,158.5,159.25,157.14,462000
OPERA LTD.,13.92,5.53,13.44,13.93,13.44,461371
NOCO-NOCO INC. ORD.,0.216,12.5,0.2032,0.2233,0.1818,460757
VERACYTE INC.,20.8,10.19,21.06,21.07,20.71,460682
INVIVYD INC.,1.93,13.98,2.0,2.03,1.92,460274
HENRY SCHEIN INC.,71.72,0.28,71.9,72.15,70.91,458504
STOKE THERAPEUTICS INC.,14.41,12.04,14.81,15.03,14.38,457977
TABOOLA.COM,4.1,10.73,4.13,4.2,4.09,457497
VEECO INSTRUMENTS INC.,41.53,3.41,40.69,41.75,40.44,456979
ITEOS THERAPEUTICS INC.,17.68,0.8,17.57,18.12,17.38,455763
LAUREATE EDUCATION INC.,16.02,10.06,16.13,16.13,15.98,454138
SUPERNUS PHARMACEUTICALS INC.,27.51,10.94,27.98,27.98,27.12,453220
BIO-TECHNE CORP,80.79,0.47,80.84,81.03,79.95,452637
CHECK POINT SOFTWARE TECHNOLOGIES,154.42,0.6,152.99,154.43,152.73,450867
AKOYA BIOSCIENCES INC.,1.97,1.55,1.98,2.11,1.95,449239
RAPT THERAPEUTICS INC.,4.18,16.9,4.5,4.54,4.09,448446
SOLIGENIX INC.,0.365,1.67,0.36,0.39,0.3212,448305
ASTRIA THERAPEUTICS INC.,9.02,0.0,9.03,9.14,8.91,446615
SCHRODINGER INC.,21.98,0.73,21.94,22.28,21.67,445447
RED CAT HOLDINGS INC.,1.02,17.27,1.09,1.1,1.0,445281
QUIPT HOME MEDICAL,3.19,1.92,3.15,3.19,3.09,445056
IAC INC.,49.8,0.69,49.5,50.15,49.1,445021
FUNKO INC.,8.37,1.7,8.25,8.5,8.2,443642
ICAHN ENTERPRISES L.P. DEPOSITARY UNITS,16.7,2.52,16.42,16.79,16.4,441656
TERNS PHARMACEUTICALS INC.,6.0,2.39,5.9,6.05,5.8,440985
B. RILEY FINANCIAL INC.,30.7,0.69,30.96,31.31,30.3,439497
SELLAS LIFE SCIENCES GROUP,1.4,3.7,1.38,1.43,1.35,438889
ARCELLX INC.,51.9,2.51,50.71,52.31,50.7,438255
THE SIMPLY GOOD FOODS CO.,37.21,0.24,37.31,37.31,36.93,436440
ADEIA INC.,11.8,0.25,11.8,11.95,11.69,436102
SIGA TECHNOLOGIES INC.,7.46,0.13,7.39,7.53,7.3,436060
MILLERKNOLL INC.,26.86,1.51,26.81,26.9,26.43,435781
PIXELWORKS INC.,0.9806,2.16,0.973,1.02,0.9711,434804
NKGEN BIOTECH INC.,1.42,123.66,1.83,1.87,1.41,434729
RADNET INC.,58.54,1.54,57.4,58.6,57.03,432970
KYMERA THERAPEUTICS INC.,34.05,10.55,34.38,36.0,33.94,432621
TREVI THERAPEUTICS INC.,2.5,11.57,2.54,2.58,2.42,431990
TTM TECHNOLOGIES INC.,18.8,1.18,18.69,18.81,18.5,431920
SPORTSMAN S WAREHOUSE HLD.,3.32,6.75,3.15,3.5,3.13,431837
GOGO INC.,10.44,2.45,10.21,10.44,10.11,431829
NETGEAR INC.,13.38,3.48,12.95,13.94,12.95,429007
CRYOPORT INC.,11.04,1.85,10.94,11.24,10.78,426632
NORTHWEST BANCSHARES INC.,11.09,0.27,11.14,11.14,11.01,426569
MOONLAKE IMMUNOTHERAPEUTICS,40.85,2.23,39.86,40.96,38.6,424603
ZEROFOX HOLDINGS INC.,1.14,0.0,1.14,1.14,1.13,424225
NEUROCRINE BIOSCIENCES INC.,139.4,10.79,140.51,142.18,139.34,423935
OPEN TEXT CORP.,30.07,10.92,30.3,30.44,29.99,423381
VUZIX CORP.,1.56,0.65,1.59,1.62,1.55,423241
PRECIGEN INC.,1.36,1.49,1.36,1.37,1.34,422809
ALIGOS THERAPEUTICS INC.,0.58,13.33,0.61,0.649,0.57,420686
FUSION PHARMACEUTICALS INC.,21.48,10.09,21.5,21.53,21.46,420683
VERONA PHARMA PLC ADS,12.04,0.33,12.13,12.23,11.95,419884
AMBARELLA INC.,50.12,2.14,49.67,50.69,48.93,419684
MAXLINEAR INC,18.43,1.71,18.33,18.55,18.14,418890
MULTIMETAVERSE HOLDINGS,0.7201,19.56,0.75,0.8,0.7031,418508
BLUE BIRD CORP.,54.54,1.72,54.44,55.4,54.13,416844
FIRST MERCHANTS,33.33,0.39,33.53,33.53,32.9,415957
BACKBLAZE INC.,6.67,11.62,6.68,6.91,6.6,414713
4D MOLECULAR THERAPEUTICS INC.,25.15,0.0,25.38,26.1,25.07,414374
MERCURY SYSTEMS INC,31.18,10.95,31.75,31.86,31.11,413882
BICYCLE THERAPEUTICS PLC ADS,23.03,11.92,23.05,23.46,22.57,412906
OLINK HOLDING AB (PUBL) ADS,23.97,0.17,23.93,24.01,23.52,412395
THE ODP CORP.,39.05,10.33,39.31,39.36,38.93,411665
ALTO INGREDIENTS INC.,1.57,0.0,1.56,1.58,1.53,411606
AXON ENTERPRISE INC.,285.63,2.01,280.48,285.78,279.0,411002
AMERICAN WOODMARK,89.04,13.91,85.34,89.07,84.0,410385
G-III APPAREL GROUP,28.82,2.89,28.33,28.91,28.22,410071
CIRRUS LOGIC INC.,114.46,0.35,115.33,116.14,114.15,409422
ACLARIS THERAPEUTICS INC.,1.11,15.93,1.18,1.19,1.11,409307
AINOS INC.,1.06,115.87,1.18,1.18,1.03,409289
GAMER PAKISTAN INC.,0.25,14.54,0.2436,0.25,0.215,408250
UNITED THERAPEUTICS,272.88,11.31,277.27,277.27,270.02,408164
CERUS CORP.,1.84,10.54,1.86,1.88,1.83,407928
E-HOME HOUSEHOLD SERVICE HLD.,0.6919,0.28,0.69,0.706,0.6855,407884
ULTRAGENYX PHARMACEUTICAL INC.,40.34,1.1,39.98,40.89,39.4,407482
ZAPATA COMPUTING HLD.,0.8315,10.99,0.824,0.8499,0.8094,404702
CVB FINANCIAL CORP.,16.3,0.18,16.42,16.44,16.18,404470
LIVANOVA PLC,59.6,0.37,59.42,59.61,58.76,403727
THE BALDWIN INSURANCE GROUP,33.68,0.84,33.88,33.93,33.01,401599
GRYPHON DIGITAL MINING INC,1.32,14.35,1.4,1.41,1.26,401593
BLUEPRINT MEDICINES,102.81,0.41,102.75,106.02,102.31,401436
BLACKROCK TCP CAPITAL,10.83,0.84,10.74,10.86,10.74,398962
CARDIFF ONCOLOGY INC.,3.44,4.24,3.3,3.5,3.22,398929
VILLAGE FARMS INTERNATIONAL,1.19,3.48,1.15,1.22,1.15,395785
BROADWIND INC.,4.11,12.3,3.65,4.15,3.63,395360
QUICKLOGIC CORP.,12.65,7.75,11.8,12.88,11.76,394877
PURPLE BIOTECH,0.745,16.88,0.84,0.8697,0.712,393934
WM TECHNOLOGY INC.,0.8883,0.95,0.88,0.91,0.86,392034
POWELL INDUSTRIES INC.,201.27,8.95,186.18,202.36,185.93,390341
NICE LTD ADS,189.66,10.23,190.0,191.67,187.9,389461
NANO NUCLEAR ENERGY INC.,4.4,10.55,3.97,4.49,3.97,389232
BYRNA TECHNOLOGIES INC.,12.11,10.19,11.13,12.13,10.94,389085
AVID BIOSERVICES INC.,8.74,11.02,8.87,9.09,8.71,388724
AEHR TEST SYSTEMS,11.64,1.93,11.52,11.77,11.41,388514
CONCENTRIX CORP.,61.77,11.67,63.24,63.52,61.47,388434
ASSERTIO HOLDINGS INC.,1.0,10.99,1.02,1.02,0.99,387984
APPLIED THERAPEUTICS INC.,4.08,0.99,4.07,4.16,3.96,386687
AMERICAN COASTAL INSURANCE,12.05,16.81,13.0,13.06,12.04,386500
CAL-MAINE FOODS INC.,60.35,1.07,59.92,60.39,59.34,386133
ADVANTAGE SOLUTIONS INC.,3.46,10.29,3.48,3.52,3.44,385957
GENEDX HOLDINGS,20.6,4.46,19.87,20.83,19.49,385721
BEAM THERAPEUTICS INC.,24.32,1.29,24.09,24.5,23.72,385361
SILK ROAD MEDICAL INC.,21.93,1.86,21.73,22.14,21.65,385326
IMMERSION CORP.,9.74,10.1,9.8,9.8,9.59,384201
BJ S RESTAURANTS INC.,35.03,0.52,35.07,35.26,34.12,384084
WEBUY GLOBAL,0.75,1.49,0.745,0.77,0.7,383911
EXSCIENTIA PLC ADS,4.69,10.85,4.78,4.87,4.67,382620
SPECTAIRE HOLDINGS INC.,0.29,120.33,0.359,0.364,0.28,380954
2SEVENTY BIO INC.,4.51,2.5,4.39,4.52,4.3,380787
BRANCHOUT FOOD INC.,1.6,4.58,1.53,1.68,1.52,379444
AZENTA INC.,50.94,1.33,50.74,50.95,49.78,378754
UPLAND SOFTWARE INC.,2.94,4.26,2.8,3.02,2.8,378545
SIGMA LITHIUM CORP.,16.22,3.18,16.08,16.31,15.79,378395
AXSOME THERAPEUTICS INC.,75.19,1.36,74.61,75.41,74.19,377246
EYENOVIA INC.,0.7113,3.09,0.71,0.7237,0.68,377040
LUCAS GC LTD.,3.08,12.84,3.16,3.2,2.87,376466
MERCADOLIBRE INC.,1693.57,10.81,1682.98,1715.69,1671.22,375675
EZCORP INC. NON-VOTING,10.2,2.2,9.98,10.21,9.98,374561
THE MIDDLEBY CORP.,124.73,11.6,127.48,127.73,124.62,374524
MADRIGAL PHARMACEUTICALS INC.,229.58,12.24,234.81,235.28,228.63,374487
CARECLOUD INC.,2.54,15.58,2.79,2.79,2.42,374195
THREDUP INC.,2.09,10.95,2.13,2.15,2.08,373479
MANHATTAN ASSOCIATES INC.,228.13,1.23,225.35,229.61,225.19,373022
CERTARA INC.,16.73,1.21,16.65,16.85,16.38,372470
NMI HOLDINGS INC,32.7,0.4,32.84,32.97,32.64,372336
ORGANOGENESIS HLD.,2.63,12.23,2.7,2.74,2.62,371773
GD CULTURE GROUP,1.01,12.22,0.9,1.1,0.9,371317
CUTERA INC.,2.06,0.0,2.03,2.12,2.0,371302
AEMETIS INC,3.62,4.93,3.45,3.63,3.45,371216
SCPHARMACEUTICALS INC.,3.51,10.28,3.52,3.79,3.39,370196
ROPER TECHNOLOGIES INC.,544.66,0.01,544.21,547.87,543.65,369948
BLADE AIR MOBILITY INC.,3.21,2.88,3.15,3.23,3.11,369525
GROWGENERATION CORP.,2.52,2.02,2.5,2.62,2.46,368460
TRUPANION INC.,28.95,2.81,28.51,29.08,27.99,367773
ALLEGIANT TRAVEL CO.,48.1,0.67,48.22,48.55,46.9,367238
AVIS BUDGET GROUP INC.,111.91,1.87,110.59,112.04,108.85,366789
RUNWAY GROWTH FINANCE,11.88,0.08,11.85,11.98,11.81,366413
MYRIAD GENETICS INC.,23.16,10.47,23.41,23.51,22.96,365955
PERION NETWORK LTD,11.76,4.35,11.4,11.84,11.35,364993
FLJ GROUP LTD.,0.7553,16.88,0.8038,0.8799,0.73,364158
INTERFACE INC.,15.66,0.84,15.5,15.68,15.44,363594
REPLIGEN CORP.,158.16,10.39,158.78,159.79,157.21,362382
PIEDMONT LITHIUM INC.,14.5,11.63,14.9,14.94,14.33,361960
INDUSTRIAL LOGISTICS PROPERTIES TRUST,3.8,11.3,3.89,3.89,3.77,361614
VERITONE INC.,3.07,0.0,3.1,3.21,3.03,361432
HEALTHCARE SERVICES GROUP INC.,10.8,10.92,11.0,11.14,10.78,361343
WOODWARD INC.,184.56,1.55,182.39,185.35,181.36,361028
GOOSEHEAD INSURANCE INC.,64.36,7.5,60.25,64.97,60.25,360972
CAPITOL FEDERAL FINANCIAL INC.,5.14,0.59,5.15,5.18,5.11,359644
APPIAN CORP.,31.05,11.43,31.5,31.74,30.95,358667
COHU INC.,31.66,2.0,31.25,31.94,31.05,358431
ALVOTECH,14.19,4.49,13.7,14.22,13.45,357873
STRATASYS LTD.,9.06,0.22,9.04,9.19,8.93,357406
DMC GLOBAL INC.,13.18,11.42,13.42,13.46,13.15,357314
COMTECH TELECOM,2.21,0.0,2.22,2.27,2.14,356904
LANZATECH GLOBAL INC.,2.94,12.64,2.61,2.95,2.57,355904
PROTAGONIST THERAPEUTICS INC.,30.41,10.43,30.72,31.22,30.25,355501
KWESST MICRO SYSTEMS INC.,0.3401,7.97,0.32,0.3515,0.31,355422
ZILLOW GROUP INC.,39.14,10.51,39.51,39.9,39.04,354951
BRAINSTORM CELL THERAPEUTICS,0.5373,17.04,0.58,0.594,0.5035,354085
SINCLAIR INC.,12.32,11.83,12.68,12.72,12.27,353851
REYNOLDS CONSUMER PRODUCTS,28.51,0.04,28.43,28.59,28.31,353758
XENCOR INC.,23.6,10.63,23.89,23.96,23.4,353561
TRISALUS LIFE SCIENCES INC.,7.56,120.75,8.23,8.51,6.8,353134
SEI INVESTMENTS CO.,68.19,0.68,67.97,68.25,67.4,352099
WAFD INC.,27.49,10.36,27.76,27.76,27.13,350881
ACCOLADE INC.,7.37,2.79,7.23,7.43,7.17,350185
AXCELIS TECHNOLOGIES INC.,111.37,1.93,110.92,111.76,109.13,349677
ONESPAN INC.,13.0,3.5,12.8,13.16,12.64,349560
FORMFACTOR INC.,58.4,10.44,59.16,59.31,58.18,349247
BRAZE INC.,41.29,0.41,41.09,41.72,40.5,347710
EDGEWISE THERAPEUTICS INC.,17.11,11.16,17.33,17.48,17.05,346718
CARA THERAPEUTICS INC.,0.6712,18.53,0.7385,0.7632,0.6708,346607
NEXSTAR MEDIA GROUP INC.,158.25,0.39,159.13,159.95,155.95,346509
THERAVANCE BIOPHARMA INC.,8.34,12.46,8.59,8.76,8.32,344561
OPEN LENDING CORP.,6.5,2.36,6.39,6.51,6.34,344485
J-LONG GROUP LTD.,0.5898,14.89,0.6142,0.64,0.5811,343435
ZENTALIS PHARMACEUTICALS INC.,11.27,10.09,11.58,11.59,11.22,342888
VENTYX BIOSCIENCES INC.,4.37,11.8,4.44,4.64,4.25,341647
FIRST FINANCIAL BANKSHARES,30.01,1.35,29.88,30.02,29.61,341183
CYTEK BIOSCIENCES INC.,5.96,0.68,5.91,6.09,5.84,340461
O REILLY AUTOMOTIVE INC.,986.96,1.14,977.2,990.67,977.2,338941
CELLDEX THERAPEUTICS INC.,36.92,1.65,36.35,37.15,35.86,338442
CONSENSUS CLOUD SOLUTIONS INC.,19.86,1.79,19.69,20.11,18.94,338189
HIBBETT INC.,86.26,10.05,86.5,86.67,86.16,338020
OAKTREE SPECIALTY LENDING,19.18,1.21,19.0,19.19,19.0,337817
ALARUM TECHNOLOGIES,34.27,4.01,33.0,36.25,33.0,337148
HARVARD BIOSCIENCE INC.,3.16,10.63,3.2,3.2,3.1,336626
HANCOCK WHITNEY,46.35,0.96,46.15,46.37,45.82,334952
CANTALOUPE INC.,6.72,1.2,6.66,6.72,6.61,334449
5E ADVANCED MATERIALS INC.,1.83,2.23,1.76,1.84,1.69,334387
EVERQUOTE INC.,24.06,1.39,23.99,24.92,23.83,333886
EASTERN BANKSHARES INC.,13.57,10.07,13.7,13.7,13.43,333165
SEER INC.,1.94,12.02,1.99,2.0,1.94,333152
PROTHENA CORP.,20.04,10.3,20.24,20.34,19.89,333008
ARKO CORP.,5.53,1.47,5.49,5.6,5.44,332311
QUALIGEN THERAPEUTICS INC.,0.305,6.09,0.281,0.3254,0.27,331862
NKARTA INC.,6.44,11.53,6.54,6.76,6.32,331763
VOR BIOPHARMA INC.,1.55,13.73,1.63,1.63,1.55,329956
NUKKLEUS INC.,0.9,7.14,0.83,0.93,0.8227,329925
BRIGHTHOUSE FINANCIAL INC.,43.3,0.16,43.21,43.48,43.14,329547
ITRON INC.,109.54,2.28,107.61,110.59,107.02,329534
ALLIANCE RESOURCE PARTNERS L.P.,23.31,1.08,23.25,23.55,23.21,329236
TOWER SEMICONDUCTOR,37.66,2.31,37.06,37.69,37.02,327051
TOURMALINE BIO INC.,13.45,11.54,13.59,13.88,13.41,326966
HAWAIIAN HOLDINGS INC.,13.8,2.91,13.46,13.85,13.44,326528
GRID DYNAMICS HLD.,10.27,0.98,10.42,10.42,10.13,324564
CLEARSIGN TECHNOLOGIES,0.9,18.27,0.7642,0.96,0.7642,323965
SPYRE THERAPEUTICS INC.,32.98,0.92,32.68,34.0,32.1,323928
COMMERCE BANCSHARES INC.,55.06,0.15,55.16,55.2,54.68,323899
QUALYS INC.,146.48,0.16,146.44,146.88,144.56,323037
NETSCOUT SYSTEMS INC.,20.73,0.1,20.89,20.91,20.66,322982
RENEW ENERGY GLOBAL PLC SHARES,6.07,3.06,5.93,6.1,5.88,322812
JOINT STOCK CO.,122.2,0.48,121.62,126.69,121.43,322644
CHIJET MOTOR CO.,0.529,3.73,0.525,0.5565,0.4989,321735
SERVE ROBOTICS INC.,2.53,6.75,2.37,2.67,2.2,321727
COLLEGIUM PHARMACEUTICAL INC.,34.25,1.27,34.09,34.54,33.68,320990
FEMASYS INC.,1.28,3.23,1.24,1.33,1.21,320569
IMMUTEP LTD.,2.84,15.02,2.99,3.12,2.67,320058
AXT INC,3.46,7.12,3.25,3.47,3.25,320040
SAGIMET BIOSCIENCES,4.82,2.55,4.72,4.91,4.6,319080
MIRUM PHARMACEUTICALS INC.,24.55,13.61,25.47,25.47,24.26,319055
HAOXI HEALTH TECHNOLOGY,6.82,0.74,6.77,7.69,6.36,319005
CVRX INC.,7.45,14.73,7.82,8.03,7.06,318917
BEYOND AIR INC.,1.11,0.91,1.1,1.15,1.06,318882
CROSS COUNTRY HEALTHCARE INC.,14.5,1.61,14.35,14.74,14.24,318552
HEALTHEQUITY INC.,79.27,10.71,79.93,80.27,79.08,317975
PROKIDNEY,3.37,13.99,3.6,3.69,3.36,317888
PLIANT THERAPEUTICS INC.,12.73,15.0,13.51,13.85,12.66,317544
PURPLE INNOVATION INC.,1.28,3.23,1.26,1.34,1.24,317117
HEARTBEAM INC.,2.72,0.74,2.7,3.0,2.65,316526
THE BANCORP INC.,32.85,0.31,33.04,33.26,32.74,316126
APOGEE THERAPEUTICS INC.,48.03,4.32,46.32,49.45,45.75,315789
HUB CYBER SECURITY,0.9024,7.43,0.8388,0.9142,0.8201,315773
HEARTLAND FINANCIAL USA INC.,43.76,0.62,43.71,43.81,43.19,315505
HIMAX TECHNOLOGIES INC. ADS,6.45,0.0,6.45,6.54,6.41,314732
WAVE LIFE SCIENCES,6.22,2.13,6.05,6.29,6.05,313793
KIRKLAND S INC.,1.85,0.0,1.87,1.87,1.81,313366
NEO-CONCEPT INTERNATIONAL GROUP HLD.,0.773,17.98,0.849,0.85,0.76,312154
SHINECO INC.,1.38,14.05,1.2,1.4,1.19,311956
EMBECTA CORP.,13.13,1.08,12.78,13.28,12.78,311459
BROOKLINE BANCORP INC.,8.72,0.23,8.8,8.83,8.64,311360
SKYWATER TECHNOLOGY INC.,8.23,2.88,8.04,8.32,7.96,310495
ZYMEWORKS INC.,8.72,0.11,8.72,8.9,8.62,310059
EVERBRIDGE INC.,34.75,10.03,34.75,34.79,34.75,309686
REGENXBIO INC.,14.92,10.27,15.09,15.34,14.86,309684
RXSIGHT INC.,61.15,0.92,60.85,62.86,60.27,309541
PACIRA BIOSCIENCES INC.,29.69,12.08,30.5,30.5,29.67,309355
STAGWELL INC.,7.07,0.71,7.07,7.14,6.95,309087
AGRIFY CORP.,0.3022,11.72,0.31,0.31,0.2932,308989
CYBERARK SOFTWARE,241.53,0.7,240.64,244.29,239.48,308549
VICTORY CAPITAL HLD.,54.15,2.3,53.35,54.17,53.23,307996
RACKSPACE TECHNOLOGY INC.,1.93,2.12,1.91,1.93,1.89,307804
SO-YOUNG INTERNATIONAL,1.04,13.7,1.09,1.12,0.9,307157
ALIGNMENT HEALTHCARE INC.,7.16,1.42,7.32,7.32,7.06,306889
BIOCARDIA INC.,0.346,5.68,0.33,0.357,0.32,306826
CONSTRUCTION PARTNERS INC.,61.44,5.01,59.05,61.45,58.67,306731
AGAPE ATP CORP.,0.2781,5.86,0.2626,0.2955,0.2561,306333
JAMES RIVER GROUP HLD.,7.46,12.74,7.7,7.7,7.46,305974
FULCRUM THERAPEUTICS INC.,7.21,12.83,7.43,7.51,7.2,305764
RHYTHM PHARMACEUTICALS INC.,36.76,11.63,37.65,38.01,36.74,305653
NIOCORP DEVELOPMENTS,2.46,23.0,2.05,2.47,2.04,305555
SENSUS HEALTHCARE INC.,6.1,3.04,5.96,6.3,5.83,305337
LEONARDO DRS INC.,23.92,0.89,23.74,24.11,23.66,304709
MOBILE-HEALTH NETWORK SOLUTIONS,1.8,11.64,1.79,1.8,1.75,304544
BITDEER TECHNOLOGIES GROUP,6.06,7.64,5.65,6.06,5.61,303157
ARCBEST CORP.,106.2,0.41,106.69,107.36,104.44,302966
SOLENO THERAPEUTICS INC.,41.16,10.02,41.36,42.43,40.68,302603
LANTRONIX INC.,3.75,10.53,3.77,3.78,3.66,301442
THE VITA COCO CO.,26.24,10.38,26.5,27.03,26.23,301094
IRON HORSE ACQUISITIONS,0.2001,0.0,0.2,0.2001,0.2,300590
ANSYS INC.,331.11,0.89,327.25,333.61,326.07,300299
UNITED BANKSHARES INC.,32.71,0.15,32.92,32.99,32.44,300061
CAMTEK,105.85,1.57,104.99,106.78,103.89,299607
UNICYCIVE THERAPEUTICS INC.,0.9459,12.33,0.9799,0.9999,0.94,299513
TRUSTMARK CORP.,29.54,10.14,29.85,29.89,29.23,298727
PERELLA WEINBERG PARTNERS,15.93,2.91,15.5,15.96,15.39,298497
BRIGHTSPRING HEALTH SERVICES,11.32,10.96,11.43,11.46,11.16,298324
ACCELERATE DIAGNOSTICS INC.,1.38,8.66,1.31,1.43,1.23,297013
VIRTRA INC.,10.39,9.02,9.65,10.42,9.53,296889
XTI AEROSPACE INC.,0.885,15.6,0.95,0.99,0.8751,296621
LIBERTY MEDIA CORP.,39.39,3.55,38.37,39.73,38.14,296367
COLUMBIA SPORTSWEAR CO.,84.03,10.64,84.8,84.82,83.74,296363
VOYAGER THERAPEUTICS INC.,8.23,1.6,8.1,8.3,8.05,296356
CHUY S HOLDINGS INC.,26.01,0.66,26.04,26.16,25.8,295403
SLEEP NUMBER CORP.,13.49,3.37,13.12,13.54,13.0,295171
HEARTLAND EXPRESS INC.,11.52,1.68,11.41,11.62,11.32,295095
EQUINIX INC.,766.12,10.18,770.33,774.6,765.28,294572
PACTIV EVERGREEN INC.,12.55,10.95,12.78,12.85,12.49,294065
WINGSTOP INC.,383.89,0.73,383.18,386.8,380.65,293131
AXONICS INC.,67.22,10.16,67.5,67.5,67.12,291184
SANMINA CORP.,67.69,1.39,67.33,68.24,67.0,288278
FINGERMOTION INC.,3.11,5.42,2.97,3.13,2.97,287901
MONOLITHIC POWER SYSTEMS INC.,753.38,0.94,755.0,758.86,746.95,287864
TELOS CORP.,3.96,1.28,3.9,4.02,3.84,287564
LARGO INC.,2.05,5.67,1.93,2.1,1.93,287227
SPORTRADAR GROUP AG,10.45,0.97,10.43,10.61,10.43,286694
HIGH TIDE INC.,2.33,1.3,2.32,2.37,2.26,286220
LAMAR ADVERTISING CO.,119.86,0.99,119.39,119.97,118.32,285814
CHURCHILL DOWNS INC.,132.99,11.2,135.29,135.77,132.9,285766
NEUMORA THERAPEUTICS INC.,9.17,11.5,9.3,9.41,8.95,285744
DZS INC.,1.37,8.73,1.29,1.46,1.24,285476
PETMED EXPRESS INC.,4.12,1.98,4.1,4.16,3.99,285446
NEW MOUNTAIN FINANCE,12.59,0.56,12.51,12.6,12.51,285190
FORTUNE RISE ACQUISITION,11.19,10.18,11.21,11.32,11.19,285144
QUINSTREET INC.,18.44,0.0,18.56,18.76,18.35,284740
